State,#,||,!=,),(,return,},=,main,-,%,const,int,,,<,&&,;,if,{,else,IntConst,$,Ident,void,floatConst,float,+,!,==,/,<=,>,*,>=
93,"error","r89","error","r89","error","error","error","error","error","error","error","error","error","r89","error","error","r89","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error"
94,"error","error","error","error","s49","error","error","error","error","s42","error","error","error","error","error","error","error","error","error","error","s39","error","s126","error","s38","error","s45","s52","error","error","error","error","error","error"
95,"error","error","error","r92","error","error","error","error","error","error","error","error","error","r92","error","error","r92","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error"
96,"error","error","error","error","s49","error","error","error","error","s42","error","error","error","error","error","error","error","error","error","error","s39","error","s126","error","s38","error","s45","s52","error","error","error","error","error","error"
97,"error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","r14","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error"
98,"error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","s100","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error"
99,"error","error","error","r27","error","error","error","error","error","error","error","error","error","s63","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error"
100,"error","error","error","error","s49","s174","r32","error","error","s42","error","s7","s14","error","error","error","r46","s129","s100","error","s39","error","s126","error","s38","s4","s45","s52","error","error","error","error","error","error"
101,"r22","error","error","error","error","error","error","error","error","error","error","r22","r22","error","error","error","error","error","error","error","error","error","error","r22","error","r22","error","error","error","error","error","error","error","error"
102,"r21","error","error","error","error","error","error","error","error","error","error","r21","r21","error","error","error","error","error","error","error","error","error","error","r21","error","r21","error","error","error","error","error","error","error","error"
